tradingsymbol,exchange,sector
360ONE,NSE,UNKNOWN
3MINDIA,NSE,UNKNOWN
AADHARHFC,NSE,UNKNOWN
AARTIIND,NSE,UNKNOWN
AAVAS,NSE,UNKNOWN
ABB,NSE,UNKNOWN
ABBOTINDIA,NSE,UNKNOWN
ABCAPITAL,NSE,UNKNOWN
ABDL,NSE,UNKNOWN
ABFRL,NSE,UNKNOWN
ABLBL,NSE,UNKNOWN
ABREL,NSE,UNKNOWN
ABSLAMC,NSE,UNKNOWN
ACC,NSE,UNKNOWN
ACE,NSE,UNKNOWN
ACMESOLAR,NSE,UNKNOWN
ACUTAAS,NSE,UNKNOWN
ADANIENSOL,NSE,UNKNOWN
ADANIENT,NSE,UNKNOWN
ADANIGREEN,NSE,UNKNOWN
ADANIPORTS,NSE,UNKNOWN
ADANIPOWER,NSE,UNKNOWN
AEGISLOG,NSE,UNKNOWN
AEGISVOPAK,NSE,UNKNOWN
AFCONS,NSE,UNKNOWN
AFFLE,NSE,UNKNOWN
AIAENG,NSE,UNKNOWN
AIIL,NSE,UNKNOWN
AJANTPHARM,NSE,UNKNOWN
ALKEM,NSE,UNKNOWN
AMBER,NSE,UNKNOWN
AMBUJACEM,NSE,UNKNOWN
ANANDRATHI,NSE,UNKNOWN
ANANTRAJ,NSE,UNKNOWN
ANGELONE,NSE,UNKNOWN
ANTHEM,NSE,UNKNOWN
ANURAS,NSE,UNKNOWN
APARINDS,NSE,UNKNOWN
APLAPOLLO,NSE,UNKNOWN
APOLLOHOSP,NSE,UNKNOWN
APOLLOTYRE,NSE,UNKNOWN
APTUS,NSE,UNKNOWN
ARE&M,NSE,UNKNOWN
ASAHIINDIA,NSE,UNKNOWN
ASHOKLEY,NSE,UNKNOWN
ASIANPAINT,NSE,UNKNOWN
ASTERDM,NSE,UNKNOWN
ASTRAL,NSE,UNKNOWN
ATGL,NSE,UNKNOWN
ATHERENERG,NSE,UNKNOWN
ATUL,NSE,UNKNOWN
AUBANK,NSE,UNKNOWN
AUROPHARMA,NSE,UNKNOWN
AWL,NSE,UNKNOWN
AXISBANK,NSE,UNKNOWN
BAJAJ-AUTO,NSE,UNKNOWN
BAJAJFINSV,NSE,UNKNOWN
BAJAJHFL,NSE,UNKNOWN
BAJAJHLDNG,NSE,UNKNOWN
BAJFINANCE,NSE,UNKNOWN
BALKRISIND,NSE,UNKNOWN
BALRAMCHIN,NSE,UNKNOWN
BANDHANBNK,NSE,UNKNOWN
BANKBARODA,NSE,UNKNOWN
BANKINDIA,NSE,UNKNOWN
BATAINDIA,NSE,UNKNOWN
BAYERCROP,NSE,UNKNOWN
BBTC,NSE,UNKNOWN
BDL,NSE,UNKNOWN
BEL,NSE,UNKNOWN
BELRISE,NSE,UNKNOWN
BEML,NSE,UNKNOWN
BERGEPAINT,NSE,UNKNOWN
BHARATFORG,NSE,UNKNOWN
BHARTIARTL,NSE,UNKNOWN
BHARTIHEXA,NSE,UNKNOWN
BHEL,NSE,UNKNOWN
BIKAJI,NSE,UNKNOWN
BIOCON,NSE,UNKNOWN
BLS,NSE,UNKNOWN
BLUEDART,NSE,UNKNOWN
BLUEJET,NSE,UNKNOWN
BLUESTARCO,NSE,UNKNOWN
BOSCHLTD,NSE,UNKNOWN
BPCL,NSE,UNKNOWN
BRIGADE,NSE,UNKNOWN
BRITANNIA,NSE,UNKNOWN
BSE,NSE,UNKNOWN
BSOFT,NSE,UNKNOWN
CAMS,NSE,UNKNOWN
CANBK,NSE,UNKNOWN
CANFINHOME,NSE,UNKNOWN
CANHLIFE,NSE,UNKNOWN
CAPLIPOINT,NSE,UNKNOWN
CARBORUNIV,NSE,UNKNOWN
CARTRADE,NSE,UNKNOWN
CASTROLIND,NSE,UNKNOWN
CCL,NSE,UNKNOWN
CDSL,NSE,UNKNOWN
CEATLTD,NSE,UNKNOWN
CEMPRO,NSE,UNKNOWN
CENTRALBK,NSE,UNKNOWN
CESC,NSE,UNKNOWN
CGCL,NSE,UNKNOWN
CGPOWER,NSE,UNKNOWN
CHALET,NSE,UNKNOWN
CHAMBLFERT,NSE,UNKNOWN
CHENNPETRO,NSE,UNKNOWN
CHOICEIN,NSE,UNKNOWN
CHOLAFIN,NSE,UNKNOWN
CHOLAHLDNG,NSE,UNKNOWN
CIEINDIA,NSE,UNKNOWN
CIPLA,NSE,UNKNOWN
CLEAN,NSE,UNKNOWN
COALINDIA,NSE,UNKNOWN
COCHINSHIP,NSE,UNKNOWN
COFORGE,NSE,UNKNOWN
COHANCE,NSE,UNKNOWN
COLPAL,NSE,UNKNOWN
CONCOR,NSE,UNKNOWN
CONCORDBIO,NSE,UNKNOWN
COROMANDEL,NSE,UNKNOWN
CPPLUS,NSE,UNKNOWN
CRAFTSMAN,NSE,UNKNOWN
CREDITACC,NSE,UNKNOWN
CRISIL,NSE,UNKNOWN
CROMPTON,NSE,UNKNOWN
CUB,NSE,UNKNOWN
CUMMINSIND,NSE,UNKNOWN
CYIENT,NSE,UNKNOWN
DABUR,NSE,UNKNOWN
DALBHARAT,NSE,UNKNOWN
DATAPATTNS,NSE,UNKNOWN
DCMSHRIRAM,NSE,UNKNOWN
DEEPAKFERT,NSE,UNKNOWN
DEEPAKNTR,NSE,UNKNOWN
DELHIVERY,NSE,UNKNOWN
DEVYANI,NSE,UNKNOWN
DIVISLAB,NSE,UNKNOWN
DIXON,NSE,UNKNOWN
DLF,NSE,UNKNOWN
DMART,NSE,UNKNOWN
DOMS,NSE,UNKNOWN
DRREDDY,NSE,UNKNOWN
ECLERX,NSE,UNKNOWN
EICHERMOT,NSE,UNKNOWN
EIDPARRY,NSE,UNKNOWN
EIHOTEL,NSE,UNKNOWN
ELECON,NSE,UNKNOWN
ELGIEQUIP,NSE,UNKNOWN
EMAMILTD,NSE,UNKNOWN
EMCURE,NSE,UNKNOWN
EMMVEE,NSE,UNKNOWN
ENDURANCE,NSE,UNKNOWN
ENGINERSIN,NSE,UNKNOWN
ENRIN,NSE,UNKNOWN
ERIS,NSE,UNKNOWN
ESCORTS,NSE,UNKNOWN
ETERNAL,NSE,UNKNOWN
EXIDEIND,NSE,UNKNOWN
FACT,NSE,UNKNOWN
FEDERALBNK,NSE,UNKNOWN
FINCABLES,NSE,UNKNOWN
FIRSTCRY,NSE,UNKNOWN
FIVESTAR,NSE,UNKNOWN
FLUOROCHEM,NSE,UNKNOWN
FORCEMOT,NSE,UNKNOWN
FORTIS,NSE,UNKNOWN
FSL,NSE,UNKNOWN
GABRIEL,NSE,UNKNOWN
GAIL,NSE,UNKNOWN
GALLANTT,NSE,UNKNOWN
GESHIP,NSE,UNKNOWN
GICRE,NSE,UNKNOWN
GILLETTE,NSE,UNKNOWN
GLAND,NSE,UNKNOWN
GLAXO,NSE,UNKNOWN
GLENMARK,NSE,UNKNOWN
GMDCLTD,NSE,UNKNOWN
GMRAIRPORT,NSE,UNKNOWN
GODFRYPHLP,NSE,UNKNOWN
GODIGIT,NSE,UNKNOWN
GODREJCP,NSE,UNKNOWN
GODREJIND,NSE,UNKNOWN
GODREJPROP,NSE,UNKNOWN
GPIL,NSE,UNKNOWN
GRANULES,NSE,UNKNOWN
GRAPHITE,NSE,UNKNOWN
GRASIM,NSE,UNKNOWN
GRAVITA,NSE,UNKNOWN
GROWW,NSE,UNKNOWN
GRSE,NSE,UNKNOWN
GVT&D,NSE,UNKNOWN
HAL,NSE,UNKNOWN
HAVELLS,NSE,UNKNOWN
HBLENGINE,NSE,UNKNOWN
HCLTECH,NSE,UNKNOWN
HDBFS,NSE,UNKNOWN
HDFCAMC,NSE,UNKNOWN
HDFCBANK,NSE,UNKNOWN
HDFCLIFE,NSE,UNKNOWN
HEG,NSE,UNKNOWN
HEROMOTOCO,NSE,UNKNOWN
HEXT,NSE,UNKNOWN
HFCL,NSE,UNKNOWN
HINDALCO,NSE,UNKNOWN
HINDCOPPER,NSE,UNKNOWN
HINDPETRO,NSE,UNKNOWN
HINDUNILVR,NSE,UNKNOWN
HINDZINC,NSE,UNKNOWN
HOMEFIRST,NSE,UNKNOWN
HONASA,NSE,UNKNOWN
HONAUT,NSE,UNKNOWN
HSCL,NSE,UNKNOWN
HUDCO,NSE,UNKNOWN
HYUNDAI,NSE,UNKNOWN
ICICIAMC,NSE,UNKNOWN
ICICIBANK,NSE,UNKNOWN
ICICIGI,NSE,UNKNOWN
ICICIPRULI,NSE,UNKNOWN
IDBI,NSE,UNKNOWN
IDEA,NSE,UNKNOWN
IDFCFIRSTB,NSE,UNKNOWN
IEX,NSE,UNKNOWN
IFCI,NSE,UNKNOWN
IGIL,NSE,UNKNOWN
IGL,NSE,UNKNOWN
IIFL,NSE,UNKNOWN
IKS,NSE,UNKNOWN
INDGN,NSE,UNKNOWN
INDHOTEL,NSE,UNKNOWN
INDIACEM,NSE,UNKNOWN
INDIAMART,NSE,UNKNOWN
INDIANB,NSE,UNKNOWN
INDIGO,NSE,UNKNOWN
INDUSINDBK,NSE,UNKNOWN
INDUSTOWER,NSE,UNKNOWN
INFY,NSE,UNKNOWN
INOXWIND,NSE,UNKNOWN
INTELLECT,NSE,UNKNOWN
IOB,NSE,UNKNOWN
IOC,NSE,UNKNOWN
IPCALAB,NSE,UNKNOWN
IRB,NSE,UNKNOWN
IRCON,NSE,UNKNOWN
IRCTC,NSE,UNKNOWN
IREDA,NSE,UNKNOWN
IRFC,NSE,UNKNOWN
ITC,NSE,UNKNOWN
ITCHOTELS,NSE,UNKNOWN
ITI,NSE,UNKNOWN
J&KBANK,NSE,UNKNOWN
JAINREC,NSE,UNKNOWN
JBCHEPHARM,NSE,UNKNOWN
JBMA,NSE,UNKNOWN
JINDALSAW,NSE,UNKNOWN
JINDALSTEL,NSE,UNKNOWN
JIOFIN,NSE,UNKNOWN
JKCEMENT,NSE,UNKNOWN
JKTYRE,NSE,UNKNOWN
JMFINANCIL,NSE,UNKNOWN
JPPOWER,NSE,UNKNOWN
JSL,NSE,UNKNOWN
JSWCEMENT,NSE,UNKNOWN
JSWDULUX,NSE,UNKNOWN
JSWENERGY,NSE,UNKNOWN
JSWINFRA,NSE,UNKNOWN
JSWSTEEL,NSE,UNKNOWN
JUBLFOOD,NSE,UNKNOWN
JUBLINGREA,NSE,UNKNOWN
JUBLPHARMA,NSE,UNKNOWN
JWL,NSE,UNKNOWN
JYOTICNC,NSE,UNKNOWN
KAJARIACER,NSE,UNKNOWN
KALYANKJIL,NSE,UNKNOWN
KARURVYSYA,NSE,UNKNOWN
KAYNES,NSE,UNKNOWN
KEC,NSE,UNKNOWN
KEI,NSE,UNKNOWN
KFINTECH,NSE,UNKNOWN
KIMS,NSE,UNKNOWN
KIRLOSENG,NSE,UNKNOWN
KOTAKBANK,NSE,UNKNOWN
KPIL,NSE,UNKNOWN
KPITTECH,NSE,UNKNOWN
KPRMILL,NSE,UNKNOWN
LALPATHLAB,NSE,UNKNOWN
LATENTVIEW,NSE,UNKNOWN
LAURUSLABS,NSE,UNKNOWN
LEMONTREE,NSE,UNKNOWN
LENSKART,NSE,UNKNOWN
LGEINDIA,NSE,UNKNOWN
LICHSGFIN,NSE,UNKNOWN
LICI,NSE,UNKNOWN
LINDEINDIA,NSE,UNKNOWN
LLOYDSME,NSE,UNKNOWN
LODHA,NSE,UNKNOWN
LT,NSE,UNKNOWN
LTF,NSE,UNKNOWN
LTFOODS,NSE,UNKNOWN
LTM,NSE,UNKNOWN
LTTS,NSE,UNKNOWN
LUPIN,NSE,UNKNOWN
M&M,NSE,UNKNOWN
M&MFIN,NSE,UNKNOWN
MAHABANK,NSE,UNKNOWN
MANAPPURAM,NSE,UNKNOWN
MANKIND,NSE,UNKNOWN
MAPMYINDIA,NSE,UNKNOWN
MARICO,NSE,UNKNOWN
MARUTI,NSE,UNKNOWN
MAXHEALTH,NSE,UNKNOWN
MAZDOCK,NSE,UNKNOWN
MCX,NSE,UNKNOWN
MEDANTA,NSE,UNKNOWN
MEESHO,NSE,UNKNOWN
MFSL,NSE,UNKNOWN
MGL,NSE,UNKNOWN
MINDACORP,NSE,UNKNOWN
MMTC,NSE,UNKNOWN
MOTHERSON,NSE,UNKNOWN
MOTILALOFS,NSE,UNKNOWN
MPHASIS,NSE,UNKNOWN
MRF,NSE,UNKNOWN
MRPL,NSE,UNKNOWN
MSUMI,NSE,UNKNOWN
MUTHOOTFIN,NSE,UNKNOWN
NAM-INDIA,NSE,UNKNOWN
NATCOPHARM,NSE,UNKNOWN
NATIONALUM,NSE,UNKNOWN
NAUKRI,NSE,UNKNOWN
NAVA,NSE,UNKNOWN
NAVINFLUOR,NSE,UNKNOWN
NBCC,NSE,UNKNOWN
NCC,NSE,UNKNOWN
NESTLEIND,NSE,UNKNOWN
NETWEB,NSE,UNKNOWN
NEULANDLAB,NSE,UNKNOWN
NEWGEN,NSE,UNKNOWN
NH,NSE,UNKNOWN
NHPC,NSE,UNKNOWN
NIACL,NSE,UNKNOWN
NIVABUPA,NSE,UNKNOWN
NLCINDIA,NSE,UNKNOWN
NMDC,NSE,UNKNOWN
NSLNISP,NSE,UNKNOWN
NTPC,NSE,UNKNOWN
NTPCGREEN,NSE,UNKNOWN
NUVAMA,NSE,UNKNOWN
NUVOCO,NSE,UNKNOWN
NYKAA,NSE,UNKNOWN
OBEROIRLTY,NSE,UNKNOWN
OFSS,NSE,UNKNOWN
OIL,NSE,UNKNOWN
OLAELEC,NSE,UNKNOWN
OLECTRA,NSE,UNKNOWN
ONESOURCE,NSE,UNKNOWN
ONGC,NSE,UNKNOWN
PAGEIND,NSE,UNKNOWN
PARADEEP,NSE,UNKNOWN
PATANJALI,NSE,UNKNOWN
PAYTM,NSE,UNKNOWN
PCBL,NSE,UNKNOWN
PERSISTENT,NSE,UNKNOWN
PETRONET,NSE,UNKNOWN
PFC,NSE,UNKNOWN
PFIZER,NSE,UNKNOWN
PGEL,NSE,UNKNOWN
PHOENIXLTD,NSE,UNKNOWN
PIDILITIND,NSE,UNKNOWN
PIIND,NSE,UNKNOWN
PINELABS,NSE,UNKNOWN
PIRAMALFIN,NSE,UNKNOWN
PNB,NSE,UNKNOWN
PNBHOUSING,NSE,UNKNOWN
POLICYBZR,NSE,UNKNOWN
POLYCAB,NSE,UNKNOWN
POLYMED,NSE,UNKNOWN
POONAWALLA,NSE,UNKNOWN
POWERGRID,NSE,UNKNOWN
POWERINDIA,NSE,UNKNOWN
PPLPHARMA,NSE,UNKNOWN
PREMIERENE,NSE,UNKNOWN
PRESTIGE,NSE,UNKNOWN
PTCIL,NSE,UNKNOWN
PVRINOX,NSE,UNKNOWN
PWL,NSE,UNKNOWN
RADICO,NSE,UNKNOWN
RAILTEL,NSE,UNKNOWN
RAINBOW,NSE,UNKNOWN
RAMCOCEM,NSE,UNKNOWN
RBLBANK,NSE,UNKNOWN
RECLTD,NSE,UNKNOWN
REDINGTON,NSE,UNKNOWN
RELIANCE,NSE,UNKNOWN
RHIM,NSE,UNKNOWN
RITES,NSE,UNKNOWN
RKFORGE,NSE,UNKNOWN
RPOWER,NSE,UNKNOWN
RRKABEL,NSE,UNKNOWN
RVNL,NSE,UNKNOWN
SAGILITY,NSE,UNKNOWN
SAIL,NSE,UNKNOWN
SAILIFE,NSE,UNKNOWN
SAMMAANCAP,NSE,UNKNOWN
SAPPHIRE,NSE,UNKNOWN
SARDAEN,NSE,UNKNOWN
SAREGAMA,NSE,UNKNOWN
SBFC,NSE,UNKNOWN
SBICARD,NSE,UNKNOWN
SBILIFE,NSE,UNKNOWN
SBIN,NSE,UNKNOWN
SCHAEFFLER,NSE,UNKNOWN
SCHNEIDER,NSE,UNKNOWN
SCI,NSE,UNKNOWN
SHREECEM,NSE,UNKNOWN
SHRIRAMFIN,NSE,UNKNOWN
SHYAMMETL,NSE,UNKNOWN
SIEMENS,NSE,UNKNOWN
SIGNATURE,NSE,UNKNOWN
SJVN,NSE,UNKNOWN
SOBHA,NSE,UNKNOWN
SOLARINDS,NSE,UNKNOWN
SONACOMS,NSE,UNKNOWN
SONATSOFTW,NSE,UNKNOWN
SPLPETRO,NSE,UNKNOWN
SRF,NSE,UNKNOWN
STARHEALTH,NSE,UNKNOWN
SUMICHEM,NSE,UNKNOWN
SUNDARMFIN,NSE,UNKNOWN
SUNPHARMA,NSE,UNKNOWN
SUNTV,NSE,UNKNOWN
SUPREMEIND,NSE,UNKNOWN
SUZLON,NSE,UNKNOWN
SWANCORP,NSE,UNKNOWN
SWIGGY,NSE,UNKNOWN
SYNGENE,NSE,UNKNOWN
SYRMA,NSE,UNKNOWN
TARIL,NSE,UNKNOWN
TATACAP,NSE,UNKNOWN
TATACHEM,NSE,UNKNOWN
TATACOMM,NSE,UNKNOWN
TATACONSUM,NSE,UNKNOWN
TATAELXSI,NSE,UNKNOWN
TATAINVEST,NSE,UNKNOWN
TATAPOWER,NSE,UNKNOWN
TATASTEEL,NSE,UNKNOWN
TATATECH,NSE,UNKNOWN
TBOTEK,NSE,UNKNOWN
TCS,NSE,UNKNOWN
TECHM,NSE,UNKNOWN
TECHNOE,NSE,UNKNOWN
TEGA,NSE,UNKNOWN
TEJASNET,NSE,UNKNOWN
TENNIND,NSE,UNKNOWN
THELEELA,NSE,UNKNOWN
THERMAX,NSE,UNKNOWN
TIINDIA,NSE,UNKNOWN
TIMKEN,NSE,UNKNOWN
TITAGARH,NSE,UNKNOWN
TITAN,NSE,UNKNOWN
TMCV,NSE,UNKNOWN
TMPV,NSE,UNKNOWN
TORNTPHARM,NSE,UNKNOWN
TORNTPOWER,NSE,UNKNOWN
TRAVELFOOD,NSE,UNKNOWN
TRENT,NSE,UNKNOWN
TRIDENT,NSE,UNKNOWN
TRITURBINE,NSE,UNKNOWN
TTML,NSE,UNKNOWN
TVSMOTOR,NSE,UNKNOWN
UBL,NSE,UNKNOWN
UCOBANK,NSE,UNKNOWN
ULTRACEMCO,NSE,UNKNOWN
UNIONBANK,NSE,UNKNOWN
UNITDSPR,NSE,UNKNOWN
